100, 4, 551.201502
100, 104, 327.040799
100, 204, 387.432812
100, 304, 389.874343
100, 404, 377.819658
100, 504, 379.174087
100, 604, 387.884719
100, 704, 387.573947
100, 804, 377.583451
100, 904, 374.409353
100, 1004, 377.731580
200, 4, 554.077390
200, 104, 518.845832
200, 204, 513.731425
200, 304, 509.118093
200, 404, 514.967966
200, 504, 516.893718
200, 604, 510.270025
200, 704, 515.774682
200, 804, 515.818701
200, 904, 516.000392
200, 1004, 510.941163
300, 4, 552.909414
300, 104, 545.472536
300, 204, 545.276833
300, 304, 545.199443
300, 404, 545.463267
300, 504, 537.780500
300, 604, 544.610988
300, 704, 544.009041
300, 804, 543.645635
300, 904, 542.129520
300, 1004, 540.118243
400, 4, 552.934909
400, 104, 555.301215
400, 204, 556.381411
400, 304, 556.662246
400, 404, 555.614718
400, 504, 554.674855
400, 604, 554.707926
400, 704, 554.251027
400, 804, 551.645998
400, 904, 550.040468
400, 1004, 546.067742
500, 4, 553.180727
500, 104, 570.401031
500, 204, 571.066428
500, 304, 571.658458
500, 404, 569.287522
500, 504, 570.078806
500, 604, 569.477068
500, 704, 567.254888
500, 804, 564.142644
500, 904, 561.606500
500, 1004, 556.933782
600, 4, 550.650200
600, 104, 577.899732
600, 204, 577.342755
600, 304, 577.155540
600, 404, 577.008353
600, 504, 575.789885
600, 604, 574.411790
600, 704, 571.808304
600, 804, 565.349216
600, 904, 562.549621
600, 1004, 561.871005
700, 4, 547.958404
700, 104, 580.423409
700, 204, 581.719478
700, 304, 580.605174
700, 404, 578.816405
700, 504, 576.476601
700, 604, 575.420835
700, 704, 570.369314
700, 804, 567.542013
700, 904, 562.450874
700, 1004, 557.748419
800, 4, 542.881739
800, 104, 579.191114
800, 204, 580.065271
800, 304, 578.969742
800, 404, 576.967436
800, 504, 574.922002
800, 604, 571.875765
800, 704, 569.577967
800, 804, 562.497680
800, 904, 557.025072
800, 1004, 553.128909
900, 4, 539.675651
900, 104, 576.865573
900, 204, 576.888923
900, 304, 575.657676
900, 404, 574.568035
900, 504, 572.237468
900, 604, 569.779430
900, 704, 565.154605
900, 804, 561.631664
900, 904, 557.057089
900, 1004, 552.240856
1000, 4, 534.211246
1000, 104, 580.324243
1000, 204, 581.351474
1000, 304, 579.855315
1000, 404, 577.817976
1000, 504, 577.042114
1000, 604, 572.472120
1000, 704, 568.910185
1000, 804, 562.956020
1000, 904, 558.786728
1000, 1004, 553.851587
